session_id,outcome,failure_stage,failure_subtype,completion_rate
df6b3254-185a-4e9c-b5e8-26626f7544d9,failure,tool_execution,false_tool_call,0.25
fb1125cb-7ef3-4e71-85cc-8a0b73526ff5,failure,tool_execution,false_tool_call,0.25
f628c99a-8c36-4622-ac9a-21eb7c8e8f5e,failure,input_validation,url_sanity_fail,0.0
03febbec-32ed-4498-b879-6c7663a777e0,success,,,1.0
3a35e1ab-de5f-47fc-ad3f-961b0c53e5e9,failure,intermediate_processing,encoding_error,0.5
75968dbc-523e-4a13-b53c-28eaa7e402ee,success,,,1.0
9bf2e495-71cc-4f4d-ab46-e5bc464c0ca4,failure,tool_execution,rate_limit_exhausted,0.25
3513b361-c9ac-4247-8c16-75381e9bb8d1,failure,tool_execution,tool_schema_error,0.25
2faa0a63-ddfc-461c-ad0d-c0bce1ca16f5,failure,final_output,schema_nonconformance,0.75
bfd19ae8-a6c6-465c-b1d0-89fbf59a2507,failure,tool_execution,pagination_failure,0.25
0b8d750d-2aec-478c-ae20-524ca8ec44e9,failure,input_validation,malformed_schema,0.0
96bf3bbc-f844-4379-aee2-251f205549ca,success,,,1.0
6619d9ca-9be3-4b6a-ba0d-1422d88501e4,success,,,1.0
61914272-d1c9-4e91-804c-55bd875fedb7,success,,,1.0
206ad881-3fff-44c3-ae6b-5dde921c810e,failure,final_output,empty_output,0.75
73042937-afcc-475f-b1c4-b1e791514231,failure,tool_execution,false_tool_call,0.25
d1abbb61-7c5d-4745-9a6d-a71a7e71bfbd,failure,intermediate_processing,sub_agent_timeout,0.5
e2eee7e9-4a8b-4735-beda-1530ca20ffae,success,,,1.0
7c4ea2a9-0e9a-447e-bba0-f3e36f0b314f,failure,final_output,hallucinated_fields,0.75
ec13e4ba-e66d-4506-bb3e-66bd6e2279d4,success,,,1.0
8d3c333f-634c-4279-8be2-ba83dbd214e7,success,,,1.0
86aeaff6-0cb8-449e-af8f-eb710a3ba223,success,,,1.0
257bee3a-5cfc-4f8d-bb9f-27430cb46b1f,failure,tool_execution,tool_schema_error,0.25
